"","College","Region","lon","lat","State","year","fulltime","parttime","international","SOC","female","retention","graduation","tuition","rank","endowment"
"1","Amherst (MA)","Northeast",-72.5206135,42.3707379,"MA","2008",1697,0,7.24808485562758,29.9351797289334,51.1490866234532,NA,NA,47430,NA,1706
"2","Amherst (MA)","Northeast",-72.5206135,42.3707379,"MA","2009",1744,0,8.14220183486239,32.2821100917431,50.1720183486239,97,96,49078,NA,1306
"3","Amherst (MA)","Northeast",-72.5206135,42.3707379,"MA","2010",1794,0,9.08584169453735,39.4648829431438,50.6688963210702,97,95,51522,2,1386
"4","Amherst (MA)","Northeast",-72.5206135,42.3707379,"MA","2011",1791,0,9.71524288107203,39.9218313791178,48.5203796761586,98,94,54098,2,1642
"5","Amherst (MA)","Northeast",-72.5206135,42.3707379,"MA","2012",1817,0,9.79636763896533,41.221794166208,48.7616951018162,98,94,56260,2,1641
"6","Amherst (MA)","Northeast",-72.5206135,42.3707379,"MA","2013",1785,0,9.57983193277311,42.7450980392157,49.5798319327731,98,96,58744,2,1824
"7","Amherst (MA)","Northeast",-72.5206135,42.3707379,"MA","2014",1792,0,9.59821428571429,43.4709821428571,48.2,98,95,61206,2,2149
"8","Amherst (MA)","Northeast",-72.5206135,42.3707379,"MA","2015",1795,0,9.6,44.1782729805014,50.4,98,96,63772,2,2194
"9","Amherst (MA)","Northeast",-72.5206135,42.3707379,"MA","2016",1849,0,9.4104921579232,44.6187128177393,50.1352082206598,98,94,66186,2,2032
"10","Amherst (MA)","Northeast",-72.5206135,42.3707379,"MA","2017",1836,0,9.20479302832244,44.281045751634,49.4553376906318,98,95,68500,2,2248
"11","Barnard (NY)","Northeast",-73.9661519,40.8090974,"NY","2008",2302,57,3.984739296312,29.4192454429843,100,NA,NA,49464,NA,216
"12","Barnard (NY)","Northeast",-73.9661519,40.8090974,"NY","2009",2307,50,4.62452269834535,29.3593551124311,100,96,89,50969,NA,168
"13","Barnard (NY)","Northeast",-73.9661519,40.8090974,"NY","2010",2335,55,5.06276150627615,30.1673640167364,100,95,89,53496,30,187
"14","Barnard (NY)","Northeast",-73.9661519,40.8090974,"NY","2011",2389,49,5.66037735849057,31.3781788351107,100,95,91,55566,26,218
"15","Barnard (NY)","Northeast",-73.9661519,40.8090974,"NY","2012",2466,43,7.06869009584665,32.3634914308489,100,94,87,57312,33,216
"16","Barnard (NY)","Northeast",-73.9661519,40.8090974,"NY","2013",2464,25,7.07111289674568,36.1189232623544,100,94,82,59000,28,244
"17","Barnard (NY)","Northeast",-73.9661519,40.8090974,"NY","2014",2544,33,7.42924528301887,37.5242530073729,100,95,95,60700,32,276
"18","Barnard (NY)","Northeast",-73.9661519,40.8090974,"NY","2015",2510,38,8.4,38.1083202511774,100,96,90,62741,32,297
"19","Barnard (NY)","Northeast",-73.9661519,40.8090974,"NY","2016",2539,46,8.30757341576507,38.6073500967118,100,96,89,65992,29,287
"20","Barnard (NY)","Northeast",-73.9661519,40.8090974,"NY","2017",2574,30,9.13978494623656,38.594470046083,100,96,91,68762,27,327
"21","Bates (ME)","Northeast",-70.2043752,44.1057216,"ME","2008",1776,0,5.46171171171171,13.7387387387387,53.8851351351351,NA,NA,49350,NA,267
"22","Bates (ME)","Northeast",-70.2043752,44.1057216,"ME","2009",1738,0,5.63866513233602,15.9953970080552,53.3947065592635,95,89,51300,NA,184
"23","Bates (ME)","Northeast",-70.2043752,44.1057216,"ME","2010",1725,0,5.91304347826087,17.8550724637681,53.8550724637681,95,89,53300,25,199
"24","Bates (ME)","Northeast",-70.2043752,44.1057216,"ME","2011",1769,0,5.93555681175806,18.824194460147,52.7416619559073,95,91,55300,21,231
"25","Bates (ME)","Northeast",-70.2043752,44.1057216,"ME","2012",1753,0,6.21791215059897,17.4557900741586,52.5955504848831,94,88,57235,21,216
