"","college","Region","lon","lat","year","fulltime","parttime","international","SOC","female","retention","graduation","tuition","rank","endowment","state"
"1","Amherst","Northeast",-72.5206135,42.3707379,"2017",1836,0,9.20479302832244,44.281045751634,49.4553376906318,98,95,68500,2,2248,"MA"
"2","Barnard","Northeast",-73.9661519,40.8090974,"2017",2574,30,9.13978494623656,38.594470046083,100,96,91,68762,27,327,"NY"
"3","Bates","Northeast",-70.2043752,44.1057216,"2017",1787,0,7.38668158925574,21.7683268047006,50.6435366536094,94,88,66720,27,294,"ME"
"4","Beloit","Midwest",-89.0330935,42.5030333,"2017",1346,56,15.9771754636234,24.3937232524964,52.5260029717682,89,82,57142,62,154,"WI"
"5","Bowdoin","Northeast",-70.0395952,44.058008,"2017",1813,3,5.01101321585903,31.773127753304,49.9724214009928,97,93,65980,6,1456,"ME"
"6","Bryn Mawr","Northeast",-75.3174228,40.0281065,"2017",1325,9,22.7136431784108,33.0584707646177,99.9245283018868,92,85,66410,31,846,"PA"
"7","Bucknell","Northeast",-76.8871265,40.9547268,"2017",3585,26,6.31404043201329,19.5790639711991,50.5718270571827,94,90,67136,32,801,"PA"
"8","Carleton","Midwest",-93.1580358,44.463185,"2017",2055,23,9.96150144369586,26.0827718960539,51.338199513382,97,95,66414,7,828,"MN"
"9","Claremont/Mc","West",-117.7101106,34.1017767,"2017",1337,1,16.7414050822123,36.0986547085202,47.8683620044877,96,92,69045,9,784,"CA"
"10","Colby","Northeast",-69.6648249,44.5638691,"2017",1917,0,10.3286384976526,23.5263432446531,52.1648408972353,93,94,66220,12,775,"ME"
"11","Colgate","Northeast",-75.5416267,42.8164607,"2017",2854,19,9.43264879916464,21.6498433693004,54.7652417659425,95,90,67500,12,881,"NY"
"12","Coll Holy Cross","Northeast",-71.8101495,42.2392391,"2017",3020,31,3.7037037037037,22.9105211406096,51.9205298013245,95,92,64320,32,749,"MA"
"13","Colorado","West",-104.8279233,38.847962,"2017",2091,16,8.97009966777409,24.5372567631704,53.5628885700622,95,87,64894,24,743,"CO"
"14","Connecticut","Northeast",-72.1067756,41.3786876,"2017",1766,51,7.31975784259769,19.0423775454045,62.9671574178935,90,83,67440,50,300,"CT"
"15","Davidson","South",-80.8563035,35.4812644,"2017",1810,0,6.74033149171271,25.1381215469613,49.3,96,93,63903,9,716,"NC"
"16","Franklin & Marshall","Northeast",-76.3221114,40.0487391,"2017",2263,20,15.4621112571178,23.4778799824792,54.1758727353071,92,87,67960,47,341,"PA"
